game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
47420,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,0,4,0.25,4.82,1,0,1,0,0.0,0.0,BLUE
45374,dragon,other,first_blood,tower_bot,dragon,RED,1,1,1,0,0.0,0.0,1,0,0,0,0.0,0.0,BLUE
45376,dragon,first_blood,other,dragon,other,BLUE,2,0,0,0,0.0,0.0,0,0,2,0,0.0,0.0,BLUE
45904,first_blood,dragon,other,dragon,tower_bot,RED,0,0,1,0,0.0,0.0,2,1,0,6,0.67,7.0,RED
45905,first_blood,dragon,tower_bot,other,other,BLUE,0,0,1,1,0.0,9.0,1,1,1,6,0.33,3.58,BLUE
44890,first_blood,dragon,other,dragon,other,BLUE,2,0,1,2,0.5,7.5,0,0,1,0,0.0,0.0,BLUE
44891,first_blood,dragon,other,other,dragon,BLUE,0,0,2,0,0.0,0.0,2,0,0,1,0.0,6.0,BLUE
44892,dragon,other,first_blood,dragon,tower_bot,BLUE,2,0,0,0,0.0,0.0,0,1,1,3,0.67,5.75,BLUE
45916,first_blood,dragon,other,dragon,other,BLUE,2,0,1,4,0.75,10.67,0,0,1,2,0.5,5.0,BLUE
45917,first_blood,dragon,other,dragon,other,BLUE,2,0,2,2,1.0,7.0,0,0,0,6,0.67,4.91,BLUE
45918,first_blood,dragon,dragon,other,other,RED,1,0,0,2,0.5,2.25,1,0,2,2,0.5,5.0,RED
44896,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,1,0,0.0,0.0,0,0,0,0,0.0,0.0,BLUE
44897,first_blood,dragon,other,tower_bot,other,RED,0,0,2,3,0.67,1.09,1,1,0,1,1.0,14.0,RED
45925,first_blood,dragon,other,dragon,tower_bot,RED,0,0,1,2,1.0,4.33,2,1,0,4,0.5,32.0,RED
44902,dragon,other,first_blood,tower_bot,dragon,RED,1,1,1,1,0.0,2.0,1,0,0,1,1.0,5.0,RED
44903,first_blood,dragon,other,tower_bot,other,RED,0,0,2,0,0.0,0.0,1,1,0,0,0.0,0.0,RED
45926,first_blood,dragon,other,dragon,other,RED,0,0,2,2,1.0,4.33,2,0,0,4,0.5,32.0,RED
44905,first_blood,other,dragon,dragon,tower_bot,RED,1,0,0,2,1.0,11.33,1,1,1,0,0.0,0.0,RED
44906,first_blood,other,dragon,dragon,other,RED,1,0,1,2,1.0,11.33,1,0,1,0,0.0,0.0,BLUE
44907,first_blood,dragon,other,dragon,other,BLUE,0,0,1,0,0.0,0.0,2,0,1,0,0.0,0.0,RED
45928,first_blood,dragon,other,dragon,other,RED,1,0,2,3,0.33,5.67,1,0,0,1,0.0,4.0,RED
45929,first_blood,dragon,other,tower_bot,dragon,RED,1,1,1,3,0.33,5.67,1,0,0,7,0.57,6.27,BLUE
45934,dragon,first_blood,other,dragon,tower_bot,RED,1,0,1,0,0.0,0.0,1,1,0,0,0.0,0.0,RED
